# # Time 	 R_dot 	 Theta_dot 
# 
1.112700194999999947e+00	-1.530707822999999995e-02	-1.451936586013371218e-15
1.118235910000000111e+00	-1.547386608000000073e-02	-1.483137258560440646e-15
1.123771623999999969e+00	-1.564129100600000072e-02	-1.515848726084033134e-15
1.129307338000000049e+00	-1.580935011799999845e-02	-1.531028947917819926e-15
1.134843051999999908e+00	-1.597804072200000036e-02	-1.552918953653215434e-15
1.140378767000000071e+00	-1.614736015199999888e-02	-1.565716833960981547e-15
1.145914480999999929e+00	-1.631730583599999909e-02	-1.571276010398954662e-15
1.151450195000000010e+00	-1.648787512199999944e-02	-1.572315022350491913e-15
1.156985909999999951e+00	-1.665906537000000007e-02	-1.557128247240320244e-15
1.162521624000000031e+00	-1.683087385000000061e-02	-1.559274680811562881e-15
1.168057337999999890e+00	-1.700329787200000053e-02	-1.563915303932327485e-15
1.173593051999999970e+00	-1.717633471399999945e-02	-1.567088452276581844e-15
1.179128766999999911e+00	-1.734998161400000058e-02	-1.564884418802887299e-15
1.184664480999999991e+00	-1.752423507000000144e-02	-1.557418760404041144e-15
1.190200195000000072e+00	-1.769909065999999975e-02	-1.531422497057259792e-15
1.195735910000000013e+00	-1.787454434599999864e-02	-1.522149064703784568e-15
1.201271624000000093e+00	-1.805059463799999972e-02	-1.519456719893779526e-15
1.206807337999999952e+00	-1.822724225199999840e-02	-1.528215076032025022e-15
1.212343052000000032e+00	-1.840448736799999915e-02	-1.549577917594580091e-15
1.217878766999999973e+00	-1.858232718000000019e-02	-1.580073544581665098e-15
1.223414481000000054e+00	-1.876075714000000061e-02	-1.613550205896202512e-15
1.228950194999999912e+00	-1.893977359599999938e-02	-1.643873817405852340e-15
1.234485910000000075e+00	-1.911937493199999949e-02	-1.668338353360431404e-15
1.240021623999999933e+00	-1.929956010000000166e-02	-1.687272014380076551e-15
1.245557338000000014e+00	-1.948032728999999838e-02	-1.700132371780929861e-15
1.251093052000000094e+00	-1.966167373799999896e-02	-1.686878447374838730e-15
1.256628767000000035e+00	-1.984359678599999927e-02	-1.679860607309857242e-15
1.262164480999999894e+00	-2.002609421999999861e-02	-1.665748675648075603e-15
1.267700194999999974e+00	-2.020916425999999891e-02	-1.650188164628264715e-15
1.273235909999999915e+00	-2.039280493999999846e-02	-1.635988186621320887e-15
1.278771623999999996e+00	-2.057701420000000031e-02	-1.603090723705886159e-15
1.284307338000000076e+00	-2.076178971999999984e-02	-1.582076084991918492e-15
1.289843051999999934e+00	-2.094712936000000039e-02	-1.557033064899198388e-15
1.295378767000000098e+00	-2.113303092000000036e-02	-1.536884388870937343e-15
1.300914480999999956e+00	-2.131949240000000079e-02	-1.531393090525441570e-15
1.306450195000000036e+00	-2.150651162000000172e-02	-1.541975162011687749e-15
1.311985909999999977e+00	-2.169408727999999967e-02	-1.561519758739454926e-15
1.317521624000000058e+00	-2.188221829999999896e-02	-1.582007566996732467e-15
1.323057337999999916e+00	-2.207090280000000015e-02	-1.601600963783864474e-15
1.328593051999999997e+00	-2.226013760000000036e-02	-1.622151451076643750e-15
1.334128766999999938e+00	-2.244991986000000050e-02	-1.644627249336223015e-15
1.339664481000000018e+00	-2.264024755999999999e-02	-1.647855037888294323e-15
1.345200195000000098e+00	-2.283111926000000111e-02	-1.664983817245197722e-15
1.350735910000000040e+00	-2.302253293999999978e-02	-1.676334035794555129e-15
1.356271623999999898e+00	-2.321448565999999908e-02	-1.685474012833815781e-15
1.361807337999999978e+00	-2.340697423999999957e-02	-1.696696440646226166e-15
1.367343052000000059e+00	-2.359999674000000033e-02	-1.691866552210394023e-15
1.372878767000000000e+00	-2.379355257999999848e-02	-1.706427646453522398e-15
1.378414481000000080e+00	-2.398764126000000121e-02	-1.720772378609162809e-15
1.383950194999999939e+00	-2.418226119999999923e-02	-1.741229062761345542e-15
1.389485910000000102e+00	-2.437741025999999936e-02	-1.774017104919687363e-15
1.395021623999999960e+00	-2.457308635999999949e-02	-1.816842152938952739e-15
1.400557338000000041e+00	-2.476928796000000058e-02	-1.857271938166482103e-15
1.406093051999999899e+00	-2.496601333999999908e-02	-1.882047860992045713e-15
1.411628767000000062e+00	-2.516326006000000129e-02	-1.886831550751020482e-15
1.417164480999999920e+00	-2.536102246000000032e-02	-1.876567525049034108e-15
1.422700195000000001e+00	-2.555929220000000002e-02	-1.838738000801753990e-15
1.428235909999999942e+00	-2.575806412000000017e-02	-1.818588634611481748e-15
1.433771624000000022e+00	-2.595734048000000044e-02	-1.796934568201273836e-15
1.439307338000000103e+00	-2.615712675999999973e-02	-1.776720701124308305e-15
1.444843051999999961e+00	-2.635742488000000078e-02	-1.741055578282775772e-15
1.450378766999999902e+00	-2.655823129999999865e-02	-1.735366773137834100e-15
1.455914480999999983e+00	-2.675954147999999935e-02	-1.742458240263814255e-15
1.461450195000000063e+00	-2.696135314000000158e-02	-1.765020523081354138e-15
1.466985910000000004e+00	-2.716366594000000148e-02	-1.799776088794143813e-15
1.472521624000000084e+00	-2.736647914000000029e-02	-1.816711384257037427e-15
1.478057337999999943e+00	-2.756979111999999926e-02	-1.851536561264102205e-15
1.483593052000000023e+00	-2.777359972000000010e-02	-1.879641577828713628e-15
1.489128766999999964e+00	-2.797790294000000039e-02	-1.902264372303155018e-15
1.494664481000000045e+00	-2.818269890000000069e-02	-1.921654187966119777e-15
1.500200194999999903e+00	-2.838798592000000079e-02	-1.937504677121796390e-15
1.505735910000000066e+00	-2.859376224000000077e-02	-1.947894595110821690e-15
1.511271623999999925e+00	-2.880002606000000090e-02	-1.954993923296324639e-15
1.516807338000000005e+00	-2.900677517999999955e-02	-1.961681164547269714e-15
1.522343052000000085e+00	-2.921400756000000140e-02	-1.945927066775059098e-15
1.527878767000000026e+00	-2.942172112000000089e-02	-1.955028947249646640e-15
1.533414481000000107e+00	-2.962991422000000111e-02	-1.969689789132035577e-15
1.538950194999999965e+00	-2.983858504000000064e-02	-1.991289867187368195e-15
1.544485909999999906e+00	-3.004773184000000125e-02	-2.016793675837037735e-15
1.550021623999999987e+00	-3.025735270000000018e-02	-2.019722808268791000e-15
1.555557338000000067e+00	-3.046744594000000070e-02	-2.046507225575542173e-15
1.561093051999999926e+00	-3.067800983999999925e-02	-2.071207836465166723e-15
1.566628767000000089e+00	-3.088904283999999861e-02	-2.087010986217597918e-15
1.572164480999999947e+00	-3.110054384000000144e-02	-2.086235671350615604e-15
1.577700195000000027e+00	-3.131250995999999842e-02	-2.068158202188515109e-15
1.583235909999999969e+00	-3.152493499999999699e-02	-2.041294069006455467e-15
1.588771624000000049e+00	-3.173781432000000180e-02	-2.016257788388368366e-15
1.594307337999999907e+00	-3.195114928000000049e-02	-1.974894662080285745e-15
1.599843051999999988e+00	-3.216494694000000126e-02	-1.968997268218772138e-15
1.605378766999999929e+00	-3.237921324000000295e-02	-1.972698544204205948e-15
1.610914481000000009e+00	-3.259394675999999907e-02	-1.982144722042682184e-15
1.616450195000000090e+00	-3.280913844000000329e-02	-1.995670043441232482e-15
1.621985910000000031e+00	-3.302477901999999882e-02	-1.990976605927676838e-15
1.627521623999999889e+00	-3.324086484000000202e-02	-2.023060178469511777e-15
1.633057337999999969e+00	-3.345739671999999748e-02	-2.066615066592467341e-15
1.638593052000000050e+00	-3.367437486000000174e-02	-2.114494497368107337e-15
1.644128766999999991e+00	-3.389179718000000230e-02	-2.131038352295150487e-15
1.649664481000000071e+00	-3.410966052000000137e-02	-2.163298748199161205e-15
1.655200194999999930e+00	-3.432796285999999836e-02	-2.186574099450366688e-15
1.660735910000000093e+00	-3.454670275999999901e-02	-2.206132856726209981e-15
1.666271623999999951e+00	-3.476587878000000215e-02	-2.222877860844956344e-15
1.671807338000000032e+00	-3.498548900000000156e-02	-2.228405683838578079e-15
1.677343051999999890e+00	-3.520553149999999798e-02	-2.216535109130685947e-15
1.682878767000000053e+00	-3.542600417999999807e-02	-2.193694776472241526e-15
