# ############################################################################### 
# # ShiftTracker1.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
7.700000000000000000e+01	1.989166666999999944e-01	-1.499967417999999997e+00	-2.271002971000000016e-04	-6.546305125000000007e-10	7.534426117000000067e-04	-5.228396221000000156e-03	-1.774710587000000119e-08	1.208830492999999999e-02	-8.315004550000000549e-02	-3.018602819999999950e-07
7.800000000000000000e+01	2.015000000000000124e-01	-1.499965471000000106e+00	-2.406107044999999923e-04	-7.004738741999999801e-10	7.853199834000000297e-04	-5.447517227999999767e-03	-1.852304633000000087e-08	1.233962775999999928e-02	-8.482103469000000506e-02	-3.003640474999999891e-07
7.900000000000000000e+01	2.040833333000000027e-01	-1.499963358000000024e+00	-2.552611429999999786e-04	-7.503286864000000514e-10	8.178702913999999968e-04	-5.671137488000000358e-03	-1.929863696999999856e-08	1.260011922999999985e-02	-8.656268131000000032e-02	-3.002286350999999759e-07
8.000000000000000000e+01	2.066666667000000013e-01	-1.499961244999999943e+00	-2.699151623000000115e-04	-8.001814978999999597e-10	8.510520045999999967e-04	-5.898916046000000392e-03	-2.007190428999999878e-08	1.284453414000000064e-02	-8.817234513999999690e-02	-2.993292840999999861e-07
8.100000000000000000e+01	2.092499999999999916e-01	-1.499958958999999981e+00	-2.857537525999999796e-04	-8.540223273000000232e-10	8.848912768999999540e-04	-6.131067209999999622e-03	-2.084161136000000146e-08	1.309907316000000037e-02	-8.986496684000000457e-02	-2.979511241000000137e-07
8.200000000000000000e+01	2.118333333000000096e-01	-1.499956671999999935e+00	-3.015958124000000162e-04	-9.078574358000000317e-10	9.193497963999999528e-04	-6.367247478999999745e-03	-2.160467486999999999e-08	1.333878173999999972e-02	-9.142462017999999913e-02	-2.953794233999999935e-07
8.300000000000000000e+01	2.144166667000000082e-01	-1.499954207000000039e+00	-3.186656317000000202e-04	-9.656232014000000927e-10	9.544516086999999503e-04	-6.607671982999999832e-03	-2.236094153000000156e-08	1.358779830000000043e-02	-9.306754997999999723e-02	-2.927483846000000087e-07
8.400000000000000000e+01	2.169999999999999984e-01	-1.499951739999999978e+00	-3.357388531000000151e-04	-1.023374721999999976e-09	9.901678348000000907e-04	-6.852047392000000167e-03	-2.310066552000000011e-08	1.382563592000000084e-02	-9.459693227000000315e-02	-2.863447708999999824e-07
8.500000000000000000e+01	2.195833332999999887e-01	-1.499949087999999930e+00	-3.540819434999999842e-04	-1.084930551999999952e-09	1.026515750000000018e-03	-7.100551123999999589e-03	-2.382806342000000005e-08	1.407016061000000012e-02	-9.619499335999999456e-02	-2.815733829999999892e-07
8.600000000000000000e+01	2.221666666999999873e-01	-1.499946436000000105e+00	-3.724283615000000252e-04	-1.146461694999999991e-09	1.063469545000000037e-03	-7.352919163999999640e-03	-2.452679089999999971e-08	1.430469497000000020e-02	-9.769085415000000605e-02	-2.704751520000000137e-07
